loc,blank_lines,comment_lines,avg_line_length,max_nesting_depth,num_keys,file_size_bytes,token_count,num_commits,num_authors,file_age_days,last_modified_days,edit_frequency,is_recently_active,stability_score,churn_total,churn_avg,loc_growth_rate,churn_volatility,num_resources,num_variables,num_dependencies,num_modules,dependency_ratio,has_hardcoded_secret,has_version_pinning,uses_latest_tag,num_anti_patterns,has_error_handling,has_idempotency_check,has_privilege_escalation,template_complexity,num_conditionals,num_loops,repo,tool,filepath,is_defect
13,4,1,45.0,2,6,782,86,3,3,4797,3713,0.018761726078799248,0,779,3.9000000000000004,1.3,0.0027100271002710027,0.65,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,mongodb/playbooks/testsharding.yml,0
4,1,1,17.4,1,1,92,12,1,1,4797,4797,0.006253908692933083,0,0,0.4,0.4,0.0008338544923910778,0.2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,mongodb/roles/common/handlers/main.yml,0
27,9,1,27.86111111111111,1,11,1039,125,3,2,4797,3713,0.018761726078799248,0,958,8.1,2.6999999999999997,0.005628517823639775,1.3499999999999999,9,2,1,0,0.1111111111111111,0,0,0,0,0,0,0,2,0,1,ansible/ansible-examples,ansible,mongodb/roles/common/tasks/main.yml,0
17,9,1,34.84615384615385,1,8,932,99,1,1,4797,4797,0.006253908692933083,0,0,1.7000000000000002,1.7000000000000002,0.0035438815926620805,0.8500000000000001,7,4,0,0,0.0,0,0,0,0,1,0,0,4,0,0,ansible/ansible-examples,ansible,mongodb/roles/mongoc/tasks/main.yml,0
30,12,1,36.11904761904762,1,18,1559,167,3,3,4797,3635,0.018761726078799248,0,596,9.0,3.0,0.006253908692933083,1.5,10,12,0,0,0.0,0,0,0,0,0,0,0,12,0,4,ansible/ansible-examples,ansible,mongodb/roles/mongod/tasks/main.yml,1
10,5,1,33.53333333333333,1,6,518,62,2,2,4797,3713,0.012507817385866166,0,1084,2.0,1.0,0.0020846362309776944,0.5,2,6,0,0,0.0,0,0,0,0,0,0,0,6,0,2,ansible/ansible-examples,ansible,mongodb/roles/mongod/tasks/shards.yml,0
16,7,1,31.782608695652176,1,7,754,81,2,2,4797,3713,0.012507817385866166,0,1084,3.2,1.6,0.003335417969564311,0.8,7,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,mongodb/roles/mongos/tasks/main.yml,0
17,5,1,15.272727272727273,1,5,358,49,3,3,4797,3713,0.018761726078799248,0,631,5.1000000000000005,1.7000000000000002,0.0035438815926620805,0.8500000000000001,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,mongodb/site.yml,1
46,5,0,28.0,3,33,1479,138,1,1,2573,2573,0.011659541391371939,0,0,4.6000000000000005,4.6000000000000005,0.017877963466770307,2.3000000000000003,6,14,0,0,0.0,0,0,0,0,0,0,0,23,0,4,ansible/ansible-examples,ansible,phillips_hue/ansible_colors.yml,0
35,4,1,25.666666666666668,3,24,1040,99,1,1,2573,2573,0.011659541391371939,0,0,3.5,3.5,0.013602798289933929,1.75,4,8,0,0,0.0,0,0,0,0,0,0,0,13,0,2,ansible/ansible-examples,ansible,phillips_hue/effect.yml,0
43,9,4,25.71153846153846,3,29,1389,147,1,1,2573,2573,0.011659541391371939,0,0,4.3,4.3,0.01671200932763311,2.15,7,11,0,0,0.0,0,0,0,0,0,0,0,18,0,3,ansible/ansible-examples,ansible,phillips_hue/on_off.yml,0
24,5,0,23.275862068965516,3,18,704,72,1,1,2573,2573,0.011659541391371939,0,0,2.4000000000000004,2.4000000000000004,0.009327633113097552,1.2000000000000002,4,1,0,0,0.0,0,0,0,0,0,0,0,3,0,0,ansible/ansible-examples,ansible,phillips_hue/register.yml,0
5,0,0,22.8,1,4,119,8,1,1,2573,2573,0.011659541391371939,0,0,0.5,0.5,0.00194325689856199,0.25,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,phillips_hue/username_info.yml,0
43,10,0,16.547169811320753,5,22,930,101,2,2,2899,2481,0.020696791997240425,0,418,8.6,4.3,0.01483270093135564,2.15,5,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,rust-module-hello-world/rust.yml,0
3,0,0,22.333333333333332,1,1,70,8,1,1,3886,3886,0.007720020586721565,0,0,0.30000000000000004,0.30000000000000004,0.0007720020586721565,0.15000000000000002,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,tomcat-memcached-failover/roles/common/handlers/main.yml,0
10,3,0,35.38461538461539,1,5,473,37,1,1,3886,3886,0.007720020586721565,0,0,1.0,1.0,0.0025733401955738548,0.5,4,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,tomcat-memcached-failover/roles/common/tasks/main.yml,0
3,0,0,20.333333333333332,1,1,64,8,1,1,3886,3886,0.007720020586721565,0,0,0.30000000000000004,0.30000000000000004,0.0007720020586721565,0.15000000000000002,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,tomcat-memcached-failover/roles/lb-nginx/handlers/main.yml,0
11,3,0,30.285714285714285,2,6,438,45,1,1,3886,3886,0.007720020586721565,0,0,1.1,1.1,0.0028306742151312406,0.55,4,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,tomcat-memcached-failover/roles/lb-nginx/tasks/main.yml,0
3,0,0,23.0,1,1,72,8,1,1,3886,3886,0.007720020586721565,0,0,0.30000000000000004,0.30000000000000004,0.0007720020586721565,0.15000000000000002,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,tomcat-memcached-failover/roles/memcached/handlers/main.yml,0
